iter	Passed	Remaining
647	5614	11714
648	5622	11705
649	5632	11697
650	5640	11688
651	5648	11678
652	5657	11669
653	5665	11661
654	5674	11651
655	5682	11642
656	5690	11632
657	5699	11624
658	5707	11614
659	5716	11605
660	5724	11597
661	5732	11587
662	5741	11577
663	5749	11568
664	5758	11560
665	5767	11552
666	5776	11545
667	5785	11535
668	5794	11527
669	5800	11514
670	5809	11506
671	5818	11497
672	5826	11488
673	5835	11479
674	5843	11470
675	5851	11460
676	5860	11452
677	5868	11442
678	5876	11433
679	5885	11424
680	5893	11415
681	5901	11405
682	5910	11396
683	5919	11389
684	5928	11380
685	5936	11371
686	5945	11363
687	5954	11354
688	5962	11345
689	5971	11337
690	5981	11330
691	5989	11321
692	5998	11313
693	6007	11305
694	6016	11297
695	6025	11289
696	6034	11281
697	6042	11271
698	6051	11264
699	6059	11253
700	6069	11246
701	6077	11237
702	6086	11228
703	6094	11220
704	6104	11212
705	6113	11204
706	6121	11196
707	6131	11188
708	6139	11180
709	6148	11172
710	6157	11163
711	6166	11154
712	6174	11145
713	6183	11137
714	6192	11129
715	6201	11120
716	6209	11111
717	6217	11102
718	6226	11093
719	6235	11084
720	6243	11075
721	6251	11066
722	6257	11052
723	6266	11044
724	6274	11035
725	6283	11026
726	6292	11018
727	6300	11008
728	6309	10999
729	6317	10990
730	6326	10983
731	6335	10974
732	6345	10967
733	6354	10959
734	6362	10950
735	6371	10941
736	6379	10932
737	6387	10923
738	6396	10915
739	6406	10907
740	6414	10897
741	6422	10889
742	6431	10880
743	6439	10871
744	6448	10862
745	6457	10854
746	6465	10844
747	6474	10836
748	6481	10826
749	6491	10818
750	6499	10810
751	6508	10801
752	6517	10792
753	6526	10784
754	6535	10776
755	6544	10768
756	6553	10760
757	6561	10751
758	6570	10742
759	6578	10732
760	6587	10725
761	6595	10715
762	6604	10706
763	6612	10696
764	6620	10688
765	6629	10679
766	6637	10670
767	6646	10662
768	6654	10652
769	6663	10644
770	6672	10635
771	6681	10628
772	6689	10618
773	6698	10609
774	6706	10600
775	6715	10591
776	6723	10583
777	6732	10574
778	6741	10566
779	6749	10557
780	6757	10547
781	6767	10540
782	6775	10530
783	6784	10522
784	6792	10512
785	6801	10505
786	6809	10495
787	6818	10486
788	6826	10478
789	6835	10468
790	6843	10459
791	6850	10449
792	6859	10440
793	6868	10432
794	6878	10425
795	6886	10416
796	6895	10408
797	6903	10399
798	6912	10391
799	6921	10381
800	6930	10373
801	6935	10360
802	6945	10353
803	6954	10345
804	6963	10337
805	6971	10327
806	6980	10319
807	6989	10310
808	6997	10302
809	7005	10292
810	7014	10283
811	7022	10274
812	7030	10265
813	7039	10256
814	7047	10247
815	7054	10236
816	7063	10227
817	7071	10217
